,log_worth,log_gdp,gross_tertiary_education_enrollment,total_tax_rate_country,age
log_worth,1.0,0.04645707072553246,0.11263244675013401,-0.10385626924088123,0.12557552973120428
log_gdp,0.04645707072553246,1.0,0.24860847528805446,0.27212371609364133,-0.05691918968201093
gross_tertiary_education_enrollment,0.11263244675013401,0.24860847528805446,1.0,-0.40023610721309555,0.061735807833619885
total_tax_rate_country,-0.10385626924088123,0.27212371609364133,-0.40023610721309555,1.0,-0.15177060912642887
age,0.12557552973120428,-0.05691918968201093,0.061735807833619885,-0.15177060912642887,1.0
